City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port-aux-Français,-49.35,70.2167,43.03,95.0,96.0,16.69,TF,1735932993.0
1,Grytviken,-54.2811,-36.5092,48.27,82.0,100.0,10.07,GS,1735932994.0
2,Blackmans Bay,-43.0167,147.3167,57.33,91.0,75.0,3.89,AU,1735932995.0
3,Griffith,41.5284,-87.4237,25.84,62.0,75.0,11.5,US,1735932708.0
4,Cabo San Lucas,22.8909,-109.9124,79.11,50.0,0.0,6.91,MX,1735932997.0
5,Bangui,4.3612,18.555,79.03,23.0,99.0,2.71,CF,1735932999.0
6,Masterton,-40.9597,175.6575,53.28,97.0,100.0,14.29,NZ,1735933000.0
7,Corumbá,-19.0092,-57.6533,76.91,94.0,40.0,3.44,BR,1735933001.0
8,Lobujya,27.95,86.8167,12.09,20.0,1.0,16.62,NP,1735933002.0
9,Avarua,-21.2078,-159.775,84.25,84.0,20.0,8.05,CK,1735933003.0
10,Cologne,50.9333,6.95,37.06,89.0,75.0,14.97,DE,1735932955.0
11,Codrington,-38.2667,141.9667,61.2,45.0,93.0,6.33,AU,1735933005.0
12,Borzya,50.3833,116.5167,-17.72,99.0,68.0,2.71,RU,1735932829.0
13,College,64.8569,-147.8028,-31.05,68.0,0.0,3.44,US,1735933007.0
14,Homer,59.6425,-151.5483,26.49,56.0,100.0,6.91,US,1735933008.0
15,Hays,30.0502,-98.0336,61.3,85.0,100.0,6.82,US,1735933010.0
16,Ribeira Grande,38.5167,-28.7,64.8,88.0,75.0,18.41,PT,1735933011.0
17,Papatowai,-46.5619,169.4708,50.5,85.0,95.0,12.17,NZ,1735933012.0
18,Thompson,55.7435,-97.8558,-16.44,69.0,0.0,8.05,CA,1735933013.0
19,Ilulissat,69.2167,-51.1,32.02,86.0,75.0,6.91,GL,1735933014.0
20,Port Alfred,-33.5906,26.891,78.19,96.0,33.0,1.01,ZA,1735933015.0
21,Saint-Philippe,-21.3585,55.7679,77.47,75.0,77.0,7.9,RE,1735933016.0
22,Punto Fijo,11.6956,-70.1996,83.5,67.0,99.0,21.21,VE,1735933017.0
23,Kīevka,50.2619,71.5514,23.88,93.0,46.0,14.9,KZ,1735933018.0
24,Atafu Village,-8.5421,-172.5159,82.9,76.0,100.0,15.52,TK,1735933019.0
25,Waitangi,-43.9535,-176.5597,59.83,98.0,50.0,4.0,NZ,1735933020.0
